City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,novyy urengoy,66.0833,76.6333,-23.75,95,100,7.98,RU,1737603674
271,mhlume,-26.0333,31.85,20.64,94,72,1.89,SZ,1737603675
272,san luis de la loma,17.2706,-100.8939,23.56,78,0,2.36,MX,1737603677
273,fountain,38.6822,-104.7008,-8.09,66,40,2.06,US,1737603389
274,sretensk,52.2453,117.7093,-17.36,93,92,1.22,RU,1737603679
275,i-n-salah,27.1935,2.4607,17.51,14,99,2.9,DZ,1737603680
276,bukoba,-1.3317,31.8122,18.39,83,90,1.64,TZ,1737603681
277,akureyri,65.6835,-18.0878,-10.04,67,0,3.6,IS,1737603682
278,rabo de peixe,37.8,-25.5833,13.73,67,75,3.09,PT,1737603684
279,petropavlovsk-kamchatsky,53.0452,158.6483,-4.67,33,0,6.0,RU,1737603685
280,port isabel,26.0734,-97.2086,10.01,83,0,2.06,US,1737603480
281,trail,49.0998,-117.7022,-5.73,97,76,1.1,CA,1737603687
282,esmeraldas,-19.7625,-44.3139,18.85,84,98,1.82,BR,1737603689
283,laguna,38.421,-121.4238,9.47,66,0,3.09,US,1737603691
284,juegang,32.3174,121.1855,11.41,63,77,5.76,CN,1737603692
285,pizarro,4.9533,-77.366,24.72,88,14,1.1,CO,1737603694
286,troitskoye,52.9821,84.6757,-12.73,87,100,8.17,RU,1737603695
287,happy valley-goose bay,53.3168,-60.3315,-22.83,59,40,9.77,CA,1737603698
288,nar'yan-mar,67.6713,53.087,-16.01,91,100,5.56,RU,1737603699
289,gulabpura,25.9,74.6667,18.37,58,0,4.06,IN,1737603700
290,hilo,19.7297,-155.09,24.85,75,40,5.66,US,1737603474
291,ozernyy,55.5802,32.4127,-0.67,95,100,3.23,RU,1737603702
292,mirpur sakro,24.5474,67.6277,19.18,30,0,7.06,PK,1737603703
293,paragould,36.0584,-90.4973,-2.1,64,3,3.58,US,1737603524
294,murzuq,25.9155,13.9184,9.98,38,0,3.32,LY,1737603706
295,ulsteinvik,62.3432,5.8487,3.51,93,13,2.7,NO,1737603707
296,vadso,70.0744,29.7487,-12.91,78,40,6.17,NO,1737603708
297,zalingei,12.9096,23.4741,19.89,20,4,5.96,SD,1737603709
298,ramanayyapeta,16.9452,82.2385,25.98,59,10,1.68,IN,1737603710
299,kourou,5.1552,-52.6478,23.49,95,100,2.07,GF,1737603711
300,al bardiyah,31.7561,25.0865,13.01,77,1,4.55,LY,1737603713
301,sarangani,5.4033,125.4636,26.66,84,100,9.08,PH,1737603714
302,aberglasslyn,-32.7,151.5333,24.27,59,97,4.28,AU,1737603715
303,sibolga,1.7427,98.7792,28.13,73,97,0.81,ID,1737603597
304,basco,20.4487,121.9702,23.61,81,45,3.67,PH,1737603717
305,dahab,28.501,34.5134,17.22,54,0,5.28,EG,1737603719
306,chonchi,-42.6128,-73.8092,11.54,99,100,0.81,CL,1737603720
307,nemuro,43.3236,145.575,1.93,77,53,4.48,JP,1737603721
308,mlimba,-8.8,35.8167,22.35,88,100,0.46,TZ,1737603722
309,vilyuchinsk,52.9306,158.4028,-3.85,79,4,2.78,RU,1737603723
310,ostersund,63.1792,14.6357,-7.75,93,100,1.03,SE,1737603489
311,howrah,22.5892,88.3103,15.0,100,100,1.54,IN,1737603726
312,qusmuryn,52.4503,64.6311,-27.9,96,6,2.28,KZ,1737603727
313,omdurman,15.6445,32.4777,21.84,23,4,6.02,SD,1737603728
314,puerto baquerizo moreno,-0.9,-89.6,24.28,81,48,4.31,EC,1737603729
315,villa gesell,-37.2639,-56.973,17.73,79,0,3.05,AR,1737603730
316,mochudi,-24.4167,26.15,18.88,58,1,1.82,BW,1737603731
317,kargasok,59.0556,80.8572,-21.36,96,100,6.14,RU,1737603733
318,kabare,-2.4683,28.8242,15.87,95,100,0.6,CD,1737603734
319,kamyshlov,56.8428,62.7111,-27.68,99,6,2.49,RU,1737603735
320,lerwick,60.1545,-1.1494,5.91,79,98,4.03,GB,1737603736
321,fada,7.25,4.0667,22.85,93,100,0.54,NG,1737603739
322,alibag,18.6411,72.8792,24.57,50,14,5.27,IN,1737603740
323,tarhuna,32.435,13.6332,12.58,32,72,2.0,LY,1737603741
324,qujing,25.4833,103.7833,13.25,60,60,5.75,CN,1737603742
325,kryve ozero,47.9524,30.3493,2.45,96,100,2.66,UA,1737603743
326,mount pearl,47.5166,-52.7813,-10.93,73,75,7.2,CA,1737603744
327,lihue,21.9789,-159.3672,23.77,50,0,6.17,US,1737603475
328,qui nhon,13.7667,109.2333,21.96,73,100,3.67,VN,1737603747
329,whitworth,53.656,-2.1771,3.58,97,61,2.09,GB,1737603748
330,saipan,15.1355,145.701,32.39,70,20,8.75,MP,1737603749
331,gonabad,34.3529,58.6837,2.17,55,0,1.73,IR,1737603750
332,laela,-8.5667,32.05,15.85,97,100,1.99,TZ,1737603751
333,santa rosa del sara,-17.1092,-63.5989,21.25,98,100,2.49,BO,1737603752
334,hami,42.8,93.45,-2.46,39,100,2.02,CN,1737603754
335,tanjung selor,2.8372,117.3642,25.63,96,98,0.73,ID,1737603755
336,leh,34.1667,77.5833,-15.8,95,98,0.53,IN,1737603756
337,aldinga beach,-35.2793,138.4604,20.91,57,100,4.05,AU,1737603757
338,vila franca do campo,37.7167,-25.4333,14.23,80,100,2.9,PT,1737603758
339,tamanrasset,22.785,5.5228,5.95,21,0,1.03,DZ,1737603760
340,taroa,8.7058,171.2275,26.73,78,98,9.63,MH,1737603762
341,turpan,42.9333,89.1667,1.33,36,10,1.44,CN,1737603763
342,labrador city,52.9463,-66.9114,-24.9,69,0,5.36,CA,1737603766
343,ixtapa,20.7,-105.2,20.57,88,0,0.0,MX,1737603768
344,yemva,62.59,50.8594,-10.7,93,100,4.87,RU,1737603769
345,jijiang,29.2906,106.2542,12.28,90,100,0.64,CN,1737603770
346,vilyuysk,63.7553,121.6247,-7.82,95,98,2.89,RU,1737603771
347,saldanha,-33.0117,17.9442,17.58,95,100,4.64,ZA,1737603772
348,reftinskiy,57.0901,61.6769,-20.79,93,6,3.16,RU,1737603773
349,castlemaine,-37.0667,144.2167,22.43,29,100,6.98,AU,1737603776
350,tymovskoye,50.8456,142.655,-6.6,86,68,0.79,RU,1737603777
351,lethem,3.3803,-59.7968,25.56,66,100,4.5,GY,1737603778
352,kalevala,65.2,31.1667,-11.66,97,100,0.96,RU,1737603779
353,novo aripuana,-5.1206,-60.3797,22.21,98,69,0.7,BR,1737603780
354,jamestown,42.097,-79.2353,-11.1,56,20,5.66,US,1737603738
355,shakhan,49.8233,72.6342,-24.99,95,100,6.64,KZ,1737603783
356,flin flon,54.7682,-101.865,-19.55,97,13,2.82,CA,1737603784
357,gandi,12.9636,5.7434,19.44,20,0,5.79,NG,1737603785
358,acapulco de juarez,16.8634,-99.8901,25.9,83,20,1.54,MX,1737603787
